id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0904353,0,53.045859,0,NT West,3,3,0,0,8,1,0,0,8,1,7,9,3,3,9,9,3,3,0,8,3,3,0,8,25,20,25,20
S0904361,0,71.96988364,0,NT West,1,1,0,0,4,0,0,0,4,0,3,4,3,3,4,4,2,1,0,4,2,1,0,4,20,17.5,20,17.5
S0904371,0,50.24229979,0,NT West,20,20,0,5,11,4,0,5,11,4,2,2,1,1,20,20,20,20,5,16,20,20,5,16,25.5,60,25.5,60
S0904400,1,13.26488706,1,HK Island,66,66,0,64,14,1,0,64,14,1,4,6,21,21,79,79,77,77,64,78,77,77,64,78,9.227848101,54.30379747,9.227848101,54.30379747
S0904402,0,48.65708419,1,HK Island,4,4,0,1,4,1,0,1,4,1,3,4,5,5,6,6,6,4,1,5,6,4,1,5,25.16666667,43.33333333,25.16666667,43.33333333
S0904410,0,13.11978097,1,HK Island,35,35,0,33,2,0,0,33,2,0,2,2,2,2,35,35,35,35,33,35,35,35,33,35,6.8,60,6.8,60
S0904411,0,44.73921971,1,HK Island,2,2,0,1,1,0,0,1,1,0,1,1,2,2,2,2,2,2,1,2,2,2,1,2,13,60,13,60
S0904412,0,46.67761807,1,HK Island,7,7,0,1,56,0,0,1,56,0,2,3,52,52,57,57,7,7,1,57,7,7,1,57,19.75438596,7.368421053,19.75438596,7.368421053
S0904420,0,12.5284052,1,NT East,4,4,0,17,2,0,0,17,2,0,2,2,9,9,19,19,19,4,17,19,19,4,17,19,7.473684211,20.52631579,7.473684211,20.52631579
S0904422,0,19.07734428,1,NT East,5,5,0,2,7,0,0,2,7,0,2,2,0,0,9,9,5,5,2,9,5,5,2,9,16.88888889,33.33333333,16.88888889,33.33333333
S0904423,0,20.95277207,1,NT East,6,6,0,3,3,0,0,3,3,0,1,3,0,0,6,6,6,6,3,6,6,6,3,6,13,60,13,60
S0904424,0,46.95687885,1,NT East,6,6,2,3,1,0,2,3,1,0,1,1,2,2,6,6,6,6,5,6,6,6,5,6,6.333333333,60,6.333333333,60
S0904431,0,40.48186174,0,NT East,4,4,0,0,7,0,0,0,7,0,3,3,0,0,7,7,7,6,0,7,7,6,0,7,20,44.28571429,20,44.28571429
S0904460,0,49.01574264,0,NT West,76,76,0,55,23,0,0,55,23,0,2,4,57,57,78,78,78,78,55,78,78,78,55,78,10.12820513,59.23076923,10.12820513,59.23076923
S0904461,0,52.96646133,0,NT West,2,2,0,0,2,0,0,0,2,0,1,1,0,0,2,2,2,2,0,2,2,2,0,2,20,60,20,60
S0904471,0,35.6550308,0,HK Island,1,1,0,0,5,0,0,0,5,0,2,2,1,1,5,5,5,5,0,5,5,5,0,5,20,36,20,36
S0904480,0,14.85010267,1,HK Island,40,40,0,43,3,0,0,44,3,0,2,4,6,6,46,47,42,42,43,46,42,42,44,47,6.913043478,57.20930233,6.893617021,57.20930233
S0904483,0,47.6495551,1,HK Island,6,6,0,1,6,0,0,1,6,0,2,2,6,6,7,7,7,7,1,7,7,7,1,7,18,55.71428571,18,55.71428571
